Voici les contacts féminins de la liste, triés par ordre alphabétique :
 
('747', 'Andy', 'Ankrett', 'aankrettkq@nyu.edu', 'Female', '131.60.224.149\n')
('713', 'Ariadne', 'Bartkowiak', 'abartkowiakjs@canalblog.com', 'Female', '29.161.238.121\n')
('213', 'Aridatha', 'Bearfoot', 'abearfoot5w@ibm.com', 'Female', '76.51.177.187\n')
('669', 'Audra', 'Bernasek', 'abernasekik@exblog.jp', 'Female', '13.226.60.253\n')
('462', 'Arlena', 'Boissieux', 'aboissieuxct@xinhuanet.com', 'Female', '96.138.77.183\n')
('237', 'Allina', 'Buxcy', 'abuxcy6k@mozilla.com', 'Female', '35.241.136.154\n')
('768', 'Ansley', 'Canlin', 'acanlinlb@smh.com.au', 'Female', '225.98.75.43\n')
('721', 'Agna', 'Chrippes', 'achrippesk0@smugmug.com', 'Female', '149.210.26.83\n')
('601', 'Arabella', 'Coote', 'acootego@qq.com', 'Female', '26.52.111.167\n')
('377', 'Aurilia', 'Degoix', 'adegoixag@economist.com', 'Female', '66.113.94.20\n')
('167', 'Ashleigh', 'Dowsett', 'adowsett4m@arizona.edu', 'Female', '185.130.32.23\n')
('171', 'Adrienne', 'Dunne', 'adunne4q@addtoany.com', 'Female', '231.138.181.181\n')
('937', 'Adi', 'Ellams', 'aellamsq0@over-blog.com', 'Female', '238.126.104.218\n')
('636', 'Aloise', 'Giorgeschi', 'agiorgeschihn@salon.com', 'Female', '71.205.97.185\n')
('873', 'Amata', 'Grasner', 'agrasnero8@umich.edu', 'Female', '205.234.107.164\n')
('647', 'Aleda', 'Guy', 'aguyhy@drupal.org', 'Female', '107.67.36.16\n')
('904', 'Ashlie', 'Haken', 'ahakenp3@shutterfly.com', 'Female', '248.184.98.1\n')
('396', 'Agretha', 'Hoxey', 'ahoxeyaz@arstechnica.com', 'Female', '91.166.30.122\n')
('648', 'Adi', 'Jaumet', 'ajaumethz@cisco.com', 'Female', '5.85.145.91\n')
('666', 'Adelle', 'Jeppe', 'ajeppeih@dyndns.org', 'Female', '22.17.60.247\n')
('970', 'Anna-diana', 'Jockle', 'ajockleqx@behance.net', 'Female', '0.139.85.84\n')
('971', 'Althea', 'Kew', 'akewqy@nih.gov', 'Female', '31.17.250.213\n')
('368', 'Allyson', 'Knevett', 'aknevetta7@timesonline.co.uk', 'Female', '111.233.253.92\n')
('775', 'Anna-diana', 'Lubeck', 'alubeckli@scientificamerican.com', 'Female', '184.255.0.63\n')
('891', 'Alli', 'Maisey', 'amaiseyoq@kickstarter.com', 'Female', '31.182.73.79\n')
('44', 'Andy', 'Mole', 'amole17@shinystat.com', 'Female', '150.228.20.211\n')
('748', 'Andromache', 'Nattriss', 'anattrisskr@slashdot.org', 'Female', '237.243.41.161\n')
('540', 'Aurelia', 'Newitt', 'anewittez@4shared.com', 'Female', '135.108.215.199\n')
('39', 'Adey', 'Randals', 'arandals12@barnesandnoble.com', 'Female', '125.11.14.170\n')
('12', 'Arlee', 'Regelous', 'aregelousb@mlb.com', 'Female', '82.111.229.30\n')
('47', 'Ashley', 'Rizzardi', 'arizzardi1a@accuweather.com', 'Female', '101.15.158.26\n')
('390', 'Anette', 'Rounsefull', 'arounsefullat@instagram.com', 'Female', '30.240.101.143\n')
